comarca,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Alt Camp,0,450,85,31,26,50,5,2,0,1,8,0,2,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alt Empordà,1,715,246,51,113,105,14,28,35,8,4,12,2,7,6,5,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Alt Penedès,1,541,168,61,149,163,7,3,2,3,1,1,2,1,0,1,2,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alt Urgell,22,155,113,32,42,29,3,15,2,2,1,1,0,0,0,0,0,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
Alta Ribagorça,78,9,11,3,5,5,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoia,0,299,130,50,31,327,17,4,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bages,0,1115,321,30,234,267,20,17,11,5,6,4,22,2,6,11,3,2,5,14,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Baix Camp,0,887,182,56,78,100,10,7,4,4,6,16,5,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baix Ebre,0,796,119,34,50,96,119,7,1,1,2,7,3,1,0,2,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Baix Empordà,0,502,151,59,89,82,12,8,2,3,2,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Baix Llobregat,2,1036,231,108,188,527,25,11,9,3,3,6,2,3,1,9,1,1,1,0,5,11,0,9,0,1,1,1,0,2,1,0,1,0,10,0,0,0,0,10,2,0,0
Baix Penedès,0,317,34,26,37,33,5,7,0,4,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelonès,14,10318,2617,2211,2570,2487,220,176,107,76,238,114,123,35,85,55,46,18,10,26,46,37,27,46,25,3,1,0,0,2,5,32,11,7,31,0,6,5,3,13,38,1,0
Berguedà,2,464,87,20,77,119,12,15,8,11,6,6,13,2,0,2,4,2,10,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cerdanya,0,107,40,15,34,26,5,4,3,1,0,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Conca de Barberà,0,506,86,53,34,95,8,3,5,7,0,1,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garraf,0,420,128,40,94,62,11,0,2,0,5,2,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrigues,2,474,234,52,54,69,6,4,8,6,1,1,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrotxa,2,328,183,24,68,60,5,14,3,2,1,11,5,2,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gironès,0,635,224,67,111,154,6,25,8,12,15,14,7,23,1,7,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0
Maresme,1,893,385,65,163,238,8,4,2,7,3,3,4,0,4,2,10,0,1,0,0,1,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0
Moianès,0,114,34,5,9,22,1,0,0,0,2,2,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montsià,1,681,130,16,55,81,57,0,2,0,0,6,6,15,1,1,1,2,1,0,6,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noguera,283,301,318,46,61,105,50,17,1,5,0,4,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osona,0,715,375,31,85,296,120,32,8,8,2,4,0,1,2,2,0,0,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pallars Jussà,488,145,130,21,62,46,3,18,1,1,1,2,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pallars Sobirà,309,137,50,45,45,32,67,4,0,8,2,1,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pla d'Urgell,5,299,202,30,47,44,3,1,4,2,1,7,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pla de l'Estany,0,151,56,22,33,24,0,4,4,3,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priorat,0,397,68,20,41,61,9,6,4,7,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ribera d'Ebre,1,339,161,25,77,124,5,5,2,0,3,2,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripollès,0,160,110,27,71,105,8,15,4,5,7,2,7,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Segarra,2,287,137,53,55,37,2,12,1,0,0,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Segrià,757,793,609,132,132,256,28,46,7,3,4,6,3,7,3,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0
Selva,0,303,225,72,88,118,11,8,3,11,9,5,1,4,0,0,0,2,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
